OVERLAPS 0
(14, 2) (1, 200.0, 2700.0, 2232.2)
(14, 3) (0, 7810.0, 10710.0, 8132.8)
(14, 4) (-1, 10680.0, 13580.0, 12192.2)
(14, 5) (0, 8090.0, 9690.0, 8177.8)
(15, 0) (0, 2660.0, 3860.0, 2708.8)
(15, 1) (0, 7466.0, 7914.0, 7812.0)
(15, 2) (0, 200.0, 2700.0, 2511.8)
(16, 0) (0, 9460.0, 10560.0, 10010.0)
(16, 1) (0, 6660.0, 7720.0, 7657.0)
(16, 2) (0, 2960.0, 4560.0, 3760.0)
(17, 0) (0, 9220.0, 9300.0, 9256.0)
(17, 1) (1, 200.0, 2700.0, 925.5)
(17, 2) (-1, 11280.0, 13580.0, 11712.5)
(17, 3) (1, 200.0, 2700.0, 925.5)
(17, 4) (0, 7740.0, 10440.0, 9117.0)
(17, 5) (0, 2660.0, 4160.0, 2895.0)
(17, 6) (0, 9180.0, 11980.0, 11712.5)
(18, 0) (0, 200.0, 1200.0, 836.8)
(19, 0) (0, 4680.0, 5830.0, 5331.0)
(19, 1) (1, 9750.0, 10250.0, 10238.0)
(19, 2) (1, 2310.0, 3610.0, 3444.0)
(19, 3) (1, 7990.0, 9090.0, 8909.0)
(19, 4) (1, 7120.0, 7720.0, 7708.0)
(20, 0) (0, 7760.0, 9160.0, 8462.0)
(20, 1) (1, 200.0, 2300.0, 219.5)
(20, 2) (1, 200.0, 2700.0, 219.5)
(21, 0) (1, 2320.0, 2640.0, 2599.5)
(21, 1) (1, 4370.0, 5270.0, 5216.0)
(21, 2) (1, 3840.0, 5140.0, 5086.0)
(21, 3) (1, 5470.0, 6370.0, 6316.0)
(22, 0) (0, 7740.0, 10440.0, 8440.0)
(22, 1) (0, 7810.0, 10710.0, 9169.5)
(22, 2) (1, 5540.0, 6840.0, 6816.0)
(22, 3) (-1, 2960.0, 4560.0, 2999.0)
(22, 4) (0, 10680.0, 13580.0, 11303.5)
(22, 5) (0, 7490.0, 9090.0, 8425.0)
(22, 6) (0, 452.0, 12548.0, 476.0)
(22, 7) (1, 467.6, 14918.0, 9585.0)
(22, 8) (-1, 3330.0, 12987.0, 3354.0)
(22, 9) (0, 452.0, 12548.0, 525.0)
(22, 10) (1, -252.2, 7720.0, 7594.0)
(22, 11) (0, 467.6, 13312.4, 7594.0)
(22, 12) (1, -23.0, 9310.0, 9195.0)
(22, 13) (1, -23.0, 9310.0, 9117.0)
(22, 14) (0, 467.6, 13312.4, 906.0)
(22, 15) (-1, 6040.0, 13258.0, 6064.0)
(23, 0) (1, 7810.0, 8070.0, 8002.5)
(23, 1) (1, 3050.0, 3950.0, 3140.0)
(23, 2) (1, 2310.0, 2810.0, 2720.0)
(23, 3) (1, 2370.0, 3670.0, 2918.0)
(24, 0) (0, 6040.0, 6540.0, 6443.0)
